Title,Lyrics
Don't Look Back In Anger (Oasis Cover),"Slip inside the eye of your mind
Don't you know you might find
A better place to play
You said that you'd never been
But all the things that you've seen
Slowly fade away
So I start a revolution from my bed
'Cause you said the brains I have went to my head
Step outside 'cause summertime's in bloom
Stand up beside the fireplace
Take that look from off you face
You ain't ever gonna burn my heart out
Chorus:
And so Sally can wait
She knows it's too late
As we're walking on by
Her soul slides away
But don't look back in anger
I heard you say
Take me to the place where you go
Where nobody knows
If it's night or day
Please don't put your life in the hands
Of a Rock 'n' Roll band
Who'll throw it all away
I'm gonna start a revoution from my bed
'Cause you said the brains I have went to my head
Step outside 'cause summertime's in bloom
Stand up beside the fireplace
Take that look from off you face
'Cause you ain't ever gonna burn my heart out
Chorus x2
So Sally can wait
She knows it's too late
As she's walking on by
My soul slides away
But don't look back in anger
Don't look back in anger
I heard you say
At least not today"
Funky,"Funky is the word,
You're right,
Or grow strong,
Funky is the word.
Oh, this is so funky,
Funky in my heart,
This girl is funky,
The girl in my dreams cracks me up.
Funky, oh that's the word,
But Jane, do you really care how funky styles of your could be?
Can you just see me lone-ly?
Funky is the word you could only say.
It's so funky,
Jane, can't you see?
You could be loved by any boy in the world,
Funky, it's the word.
The word is funky,
The word is funky,
Oh how a shame,
It's too funky."
Happy Xmas (War Is Over),"And so this is Christmas
And what have you done?
Another year over
A new one just begun
And so this is Christmas
I hope you had fun
The near and the dear one
The old and the young
A very merry Christmas
And a happy new year
Let's hope it's a good one
Without any fear
And so this is Christmas
For weak and for strong
The rich and the poor ones
The world is so wrong
And so happy Christmas
For black and for white
For yellow and red ones
Let's stop all the fight, yeah
A very merry Christmas
And a happy new year
Let's hope it's a good one
Without any fear
So this is Christmas
What have we done?
Another year over
A new one just begun
So happy Christmas
We hope you had fun
The near and the dear one
The old and the young
A very merry Christmas
And a happy new year
Let's hope it's a good one
Without any fear
War is over
If you want it
War is over now"
Hello (Oasis Cover),"I don't feel as if I know you
You take up all my time
The days are long and the night will throw you away
Coz the sun don't shine
Nobody ever mentions the weather can make or break your day
Nobody ever seems to remember life is a game we play
We live in the shadows and we had the chance and threw it away
And it's never gonna be the same
Cos the years are falling by like the rain
And it's never gonna be the same
Till the life I knew comes to my house and says
Hello
There ain't no sense in feeling lonely
They got no faith in you
But I've got a feeling you still owe me
So wipe the shit from your shoes
Nobody ever mentions the weather can make or break your day
Nobody ever seems to remember life is a game we play
We live in the shadows and we had the chance and threw it away
And it's never gonna be the same
Cos the years are falling by like the rain
And it's never gonna be the same
Till the life I knew comes to my house and says
Hello
Hello!
Hello!
Hello!
Hello!
It's good to be back!"
If I Never See Your Face Again (Feat. Rihanna),"[Adam]
Now as the summer fades, I let you slip away
You say I’m not your type, But I can make you sway.
It makes you burn to learn, You’re not the only one
I’d let you be if you put down your blazing gun.
[Rihanna]
Now you’ve gone somewhere else, Far away
I don’t know if I will find you (find you, find you).
But you feel my breath, On your neck
Can’t believe I’m right behind you (right behind you).
[Both]
‘Cause you keep me coming back for more
And I feel a little better than I did before
If I never see your face again, I don’t mind
‘Cause we gone much further than I thought we’d get tonight
[Rihanna]
Sometimes you move so well
It’s hard not to give in.
[Adam]
I’m lost, I can’t tell
Where you end and I begin.
[Rihanna]
It makes you burn to learn
I’m with another man.
[Adam]
I wonder if he’s half
The lover that I am.
[Adam]
Now you’ve gone somewhere else, Far away
I don’t know if I will find you (find you, find you).
But you feel my breath, On your neck
Can’t believe I’m right behind you (right behind you).
[Both]
‘Cause you keep me coming back for more
And I feel a little better than I did before
If I never see your face again, I don’t mind
‘Cause we gone much further than I thought we’d get tonight
[Adam]
Baby, baby
Please believe me
Find it in your heart to reach me
Promise not to leave me behind
(Promise not to leave me behind)
[Rihanna]
Take me down, but take it easy
Make me think but don’t deceive me
Talk to me bout taking your time
(Talk to me, talk to me)
[Rihanna]
‘Cause you keep me coming back for more
And I feel a little better than I did before
[Both]
If I never see your face again, I don’t mind
‘Cause we gone much further than I thought we’d get tonight
[Both]
‘Cause you keep me coming back for more
And I feel a little better than I did before
If I never see your face again, I don’t mind
‘Cause we gone much further than I thought we’d get tonight"
Lovely Day,"(feat. Bill Withers)
When I wake up in the morning, love
And the sunlight hurts my eyes
And something without warning, love
Bears heavy on my mind
Then I look at you
And the world's alright with me
Just one look at you
And I know it's gonna be
A lovely day
...lovely day, lovely day, lovely day...
When the day that lies ahead of me
Seems impossible to face
When someone else instead of me
Always seems to know the way
Then I look at you
And the world's alright with me
Just one look at you
And I know it's gonna be
A lovely day...
When the day that lies ahead of me
Seems impossible to face
When someone else instead of me
Always seems to know the way
Then I look at you
And the world's alright with me
Just one look at you
And I know it's gonna be
A lovely day..."
Myself,"I have told
All of my enemies
Very polietly
To go home
I have seen
All of your remedies
Now won't you let me please
Go home?
I can't find anything to be sad about
They say I'm doomed, but I feel fine
I have tried
So very hard as hell
To stay away from hell
And live upstairs
But when I see
All of your remedies
I try quite desperately
To go home
I can't find anything to be sad about
They say I'm doomed, but I feel fine
But if I'm sitting here lonely with no one to hold me
At least I'll have my health
I'm trying to control myself
I have told
All of my enemies
Very polietly
To go home
I have seen
All of your remedies
Now won't you let me please
Go home?
I've been acting irresponsibly
But what could go possibly go wrong?
I have choked on all your remedies
Now won't you let me please
Go home?
But if I sit here lonely
With no one to hold me
At least I'll have my health
I'm trying to control myself
I'm trying to control
Myself"
Pleasure Fucker,"Hotter than the hesitation
Was the way you looked around then
Acting like some older woman you moved in
Pinned me to the ground I couldn't stop you
Making my imagination jealous of
A picture perfect situation
She has got me locked up tighter than I thought
She's a quick licking pleasure sucker
Hotter than a motherfucker
And she knows who she is
And she gives me whatever I want
I, retire to my room
Think of her as my vacation from myself
As she goes off with someone else
I sit (here) alone in desperation
Contemplating masturbation
I lean back serious slacka, heart attack
She has got me locked up hotter than I thought
She's a quick licking pleasure sucker
Hotter than a motherfucker
She has got me locked up hotter than I thought
She's a quick licking pleasure sucker
Hotter than a motherfucker
Ohhhh
She has got me locked up tighter than I thought
She's a quick licking pleasure sucker
Hotter than a motherfucker
And she knows who she is
And she gives me whatever I want
She has got me locked up tighter than I thought
She's a quick licking pleasure sucker
Hotter than a motherfucker
And she knows who she is
And she gives me whatever I want"
The Kid With The Velvet Eyes,"Every day, people sway
softly lulling me to sleep
I look the other way
but I still can't look too deep
I think I'll fall asleep
I think I'll fall asleep
So call up and tell him that you will survive
good looking kid with the velvet eyes
you and me and everything's gonna be fine
Every night, people fight
gently lulling me to sleep
what gives me the right
to waste away and weep
I think I'll turn away
there's nothing left to say
So call up and tell him that you will survive
good looking kid with the velvet eyes
you and me and everything's gonna be fine
so you wanna have everything your heart desires
there's a fist full of people with their hearts on fire
make your way on up to the front of the line
Get out of my way
I'm here now to stay
Get out of my way
I'm here now to stay
So call up and tell him that you will survive
good looking kid with the velvet eyes
you and me and everything's gonna be fine
so you wanna have everything your heart desires
there's a fist full of people with their hearts on fire
make your way on up to the front of the line"
The Reason,"I'm not a perfect person
Ther's many things I wish I didn't do
But I continue learnind
I never meant to do those things to you
And so I have to say before I go
That I just wnat you to know
I found the reason for me
To change who I use to be
A reason to start over new
And the reason is you
I'm sorry that I hurt you
It's something I must live with everyday
And all the pain I put you through
I wish that I could take it all away
And be the one who catches all you tears
That's why I need you to hear
I found the reason for me
To change who I use to be
A reason to start over new
And the reason is you
And the reason is you
And the reason is you
And the reason is you
I'm not a perfect person
I never meant to do those things to you
And so I have to say before I go
That I just want you to know
I found the reason for me
To change who I used to be
A reason to start over new
And the reason is you
I found a reason to show
A side of me you didn't know
A reason for all that I do
And the reason is you
these lyrics are submitted by Lucky funny girl"
Misery - Maroon 5,"Oh yeah
Oh yeah
So scared of breaking it
But you won’t let it bend
And I wrote two hundred letters
I won’t ever send
Somehow it is cut so much
Deeper then they seem
You’d rather cover up
I’d rather let them be
So let me be
And I’ll set you free
 
I am in misery
There ain’t no other
Who can comfort me
Why won’t you answer me?
Your silence is slowly killing me
Girl you really got me bad
You really got me bad
I’m gonna get you back
Gonna get you back
Your salty skin and how
It mixes in with mine
The way it feels to be
Completely intertwined
It’s not that I didn’t care
It’s that I didn’t know
It’s not what I didn’t feel,
It’s what I didn’t show
So let me be
And I’ll set you free
 
I am in misery
There ain’t no other
Who can comfort me
Why won’t you answer me?
Your silence is slowly killing me
Girl you really got me bad
You really got me bad
I’m gonna get you back
Gonna get you back
Say your faith is shaken
You may be mistaken
You keep me wide awake and
Waiting for the sun
I’m desperate and confused
So far away from you
I’m getting here
Don’t care where I have to go
Why do you do what you do to me, yeah
Why won’t you answer me, answer me yeah
Why do you do what you do to me yeah
Why won’t you answer me, answer me yeah
 
I am in misery
There ain’t no other
Who can comfort me
Why won’t you answer me?
Your silence is slowly killing me
Girl you really got me bad
You really got me bad
I’m gonna get you back
Gonna get you back"
